year;month;mc;v_flow_mean;v_rainfall_total
2000;1;12;20.32;145.12
2000;2;12;19.42;88.50
2000;3;12;19.05;107.50
2000;4;12;21.19;158.00
2000;5;12;27.19;170.99
2000;6;12;28.84;303.48
2000;7;12;25.34;264.10
2000;8;12;20.34;90.52
2000;9;12;33.55;108.92
2000;10;12;27.75;289.02
2000;11;12;24.88;128.66
2000;12;12;18.81;77.40
2001;1;12;11.61;124.90
2001;2;12;9.68;42.70
2001;3;12;10.57;54.50
2001;4;12;10.73;110.90
2001;5;12;15.58;159.10
2001;6;12;12.45;243.80
2001;7;12;13.58;102.80
2001;8;12;10.98;184.00
2001;9;12;15.45;29.10
2001;10;12;12.18;104.90
2001;11;12;13.21;82.10
2001;12;12;18.72;123.20
2002;1;12;11.20;113.70
2002;2;12;9.89;4.20
2002;3;12;11.24;30.20
2002;4;12;15.04;144.73
2002;5;12;13.25;196.27
2002;6;12;18.58;179.18
2002;7;12;12.81;104.72
2002;8;12;11.71;126.00
2002;9;12;12.46;98.24
2002;10;12;14.11;117.66
2002;11;12;20.39;182.98
2002;12;12;19.60;106.92
2003;1;12;14.13;35.50
2003;2;12;13.67;10.50
2003;3;12;15.27;15.70
2003;4;12;21.33;114.50
2003;5;12;21.17;204.50
2003;6;12;17.09;154.60
2003;7;12;15.22;205.00
2003;8;12;13.44;121.90
2003;9;12;10.57;155.38
2003;10;12;17.45;115.52
2003;11;12;17.81;186.40
2003;12;12;15.51;120.30
2004;1;12;12.34;84.60
2004;2;12;9.42;47.10
2004;3;12;10.91;55.10
2004;4;12;12.64;85.70
2004;5;12;17.30;205.20
2004;6;12;14.04;204.38
2004;7;12;14.61;52.22
2004;8;12;14.24;134.10
2004;9;12;13.99;34.20
2004;10;12;16.28;155.80
2004;11;12;18.18;205.80
2004;12;12;13.54;139.30
2005;1;12;12.95;53.50
2005;2;12;11.95;67.96
2005;3;12;10.48;168.54
2005;4;12;12.34;116.98
2005;5;12;16.61;123.48
2005;6;12;13.44;195.87
2005;7;12;10.67;53.17
2005;8;12;12.77;29.20
2005;9;12;10.51;141.60
2005;10;12;15.61;127.91
2005;11;12;18.70;214.77
2005;12;12;15.24;128.11
