year;month;mc;v_flow_mean;v_rainfall_total
2000;1;1;2.45;299.12
2000;2;1;2.14;333.86
2000;3;1;2.53;264.73
2000;4;1;2.38;170.73
2000;5;1;4.64;65.17
2000;6;1;3.06;72.36
2000;7;1;3.12;42.85
2000;8;1;4.84;52.01
2000;9;1;3.22;20.73
2000;10;1;2.33;92.4
2000;11;1;2.64;153.84
2000;12;1;1.38;187.34
2001;1;1;1.3;125.38
2001;2;1;1.17;55.18
2001;3;1;1.16;129.19
2001;4;1;2.03;125
2001;5;1;2.46;51.5
2001;6;1;5.77;61.34
2001;7;1;3.77;16.9
2001;8;1;5.17;6.21
2001;9;1;2.59;0.68
2001;10;1;1.27;75.97
2001;11;1;1.43;91.78
2001;12;1;2.4;206.62
2002;1;1;1.06;209.53
2002;2;1;1.03;149.07
2002;3;1;0.94;113.62
2002;4;1;2.14;94.49
2002;5;1;2.4;226.69
2002;6;1;6.79;57.05
2002;7;1;4.5;73.34
2002;8;1;4.63;9.66
2002;9;1;1.2;14.76
2002;10;1;1.94;32.89
2002;11;1;1.68;62.6
2002;12;1;1.75;95.06
2003;1;1;0.64;208.7
2003;2;1;0.51;80.88
2003;3;1;1.93;93.34
2003;4;1;2.04;200.48
2003;5;1;4.08;269.23
2003;6;1;3.02;7.77
2003;7;1;4.2;90.98
2003;8;1;2.12;1.34
2003;9;1;1.76;0.55
2003;10;1;1.49;40.18
2003;11;1;1.85;256.04
2003;12;1;1.85;225.43
2004;1;1;1.33;175.06
2004;2;1;0.93;149.41
2004;3;1;1.34;48.46
2004;4;1;2.36;116.57
2004;5;1;2.24;247.73
2004;6;1;5;75.76
2004;7;1;3.57;1.34
2004;8;1;4.39;24.23
2004;9;1;1.46;0.45
2004;10;1;1.76;39.9
2004;11;1;2.82;261.08
2004;12;1;1.37;384.77
2005;1;1;1.63;239
2005;2;1;1.42;238.24
2005;3;1;1.08;179.01
2005;4;1;3.98;145.25
2005;5;1;3.01;95.26
2005;6;1;2.56;113.23
2005;7;1;3.18;12.67
2005;8;1;3.73;20.53
2005;9;1;2.36;8.35
2005;10;1;2.82;54.24
2005;11;1;2.24;234.04
2005;12;1;2.45;232.87
2006;1;1;1.98;326.81
2006;2;1;1.63;231.61
2006;3;1;2.57;135.38
2006;4;1;3.7;211.14
2006;5;1;3.47;185.19
2006;6;1;6.08;78.38
2006;7;1;5.43;128.48
2006;8;1;3.53;19.34
2006;9;1;2.02;12.99
2006;10;1;2.17;20.87
2006;11;1;2.85;206.05
2006;12;1;2.15;210.19
2007;1;1;0.92;251.8
2007;2;1;0.78;62.29
2007;3;1;1.53;139.34
2007;4;1;2.67;99.19
2007;5;1;3.45;314
2007;6;1;7.88;145.4
2007;7;1;3.28;39.01
2007;8;1;3.46;24.21
2007;9;1;2.73;25.66
2007;10;1;4.28;0.45
2007;11;1;3.34;372.28
2007;12;1;3.32;233.75
2008;1;1;1.92;246.18
2008;2;1;2.51;263.96
2008;3;1;2.96;189.31
2008;4;1;2.81;257.27
2008;5;1;3.34;163.79
2008;6;1;4.68;217.23
2008;7;1;3.47;42.11
2008;8;1;3.47;65.05
2008;9;1;3.32;80.63
2008;10;1;2.33;36.33
2008;11;1;3.58;231.01
2008;12;1;2.92;410.64
2009;1;1;1.9;382.16
2009;2;1;2.46;105.02
2009;3;1;2.24;230.61
2009;4;1;1.99;281.76
2009;5;1;1.68;193.01
2009;6;1;3.19;68.41
2009;7;1;4.73;22.12
2009;8;1;4.4;4.98
2009;9;1;1.68;8.45
2009;10;1;1.86;3.55
2009;11;1;2.06;162.45
2009;12;1;1.07;178.62
2010;1;1;0.8;146.89
