year;month;mc;v_flow_mean;v_rainfall_total
2000;1;3;143.00;359.96
2000;2;3;140.10;242.08
2000;3;3;175.80;265.77
2000;4;3;179.90;274.41
2000;5;3;309.00;156.41
2000;6;3;206.70;215.66
2000;7;3;181.20;119.74
2000;8;3;229.20;24.94
2000;9;3;167.20;94.32
2000;10;3;145.10;117.78
2000;11;3;157.90;132.35
2000;12;3;117.10;207.29
2001;1;3;79.25;222.09
2001;2;3;86.97;110.64
2001;3;3;113.70;214.02
2001;4;3;114.50;249.45
2001;5;3;162.20;145.7
2001;6;3;244.60;181.87
2001;7;3;180.30;94.86
2001;8;3;204.90;84.11
2001;9;3;144.20;32.86
2001;10;3;86.72;122.64
2001;11;3;109.00;230.81
2001;12;3;143.10;211.26
2002;1;3;73.43;228.14
2002;2;3;59.05;41.98
2002;3;3;104.20;22.13
2002;4;3;168.50;232.47
2002;5;3;165.60;193.01
2002;6;3;306.80;141.84
2002;7;3;210.40;120.97
2002;8;3;213.50;68.41
2002;9;3;104.80;70.11
2002;10;3;126.60;41.33
2002;11;3;129.20;95.93
2002;12;3;115.60;114.4
2003;1;3;58.71;137.71
2003;2;3;59.87;83.28
2003;3;3;87.94;143.31
2003;4;3;129.40;115.5
2003;5;3;232.20;171.9
2003;6;3;194.50;104.28
2003;7;3;213.90;141.01
2003;8;3;127.90;37.32
2003;9;3;118.30;13.22
2003;10;3;146.80;98.12
2003;11;3;136.50;128.88
2003;12;3;123.60;198.18
2004;1;3;80.29;148.8
2004;2;3;68.79;82.12
2004;3;3;71.30;132.47
2004;4;3;151.60;58.53
2004;5;3;180.80;387.57
2004;6;3;246.30;122.08
2004;7;3;192.70;57.32
2004;8;3;190.00;85.87
2004;9;3;97.50;27.54
2004;10;3;123.90;50.61
2004;11;3;154.80;166.15
2004;12;3;102.80;290.51
2005;1;3;79.77;178.01
2005;2;3;110.10;97.18
2005;3;3;84.94;197.33
2005;4;3;173.90;250.63
2005;5;3;158.40;156.59
2005;6;3;157.30;80.1
2005;7;3;161.00;49.11
