year;month;mc;v_flow_mean;v_rainfall_total
2000;1;26;111.10;141.96
2000;2;26;75.08;184.46
2000;3;26;86.46;110.12
2000;4;26;86.40;200.88
2000;5;26;74.11;166.83
2000;6;26;53.07;207.29
2000;7;26;49.47;37.88
2000;8;26;45.99;58.00
2000;9;26;130.00;87.83
2000;10;26;84.46;234.17
2000;11;26;139.10;185.92
2000;12;26;46.47;249.92
2001;1;26;41.54;18.17
2001;2;26;31.30;23.00
2001;3;26;36.26;35.00
2001;4;26;18.58;103.00
2001;5;26;42.50;20.00
2001;6;26;20.11;121.00
2001;7;26;16.60;38.00
2001;8;26;12.73;36.00
2001;9;26;34.47;6.00
2001;10;26;62.83;197.00
2001;11;26;85.24;211.75
2001;12;26;67.34;62.08
2002;1;26;27.28;129.17
2002;2;26;20.68;28.00
2002;3;26;30.37;9.00
2002;4;26;83.81;135.29
2002;5;26;101.10;177.71
2002;6;26;81.49;217.00
2002;7;26;34.92;63.00
2002;8;26;19.30;19.00
2002;9;26;33.57;30.00
2002;10;26;30.40;119.00
2002;11;26;35.38;133.00
2002;12;26;28.36;48.00
2003;1;26;11.66;42.00
2003;2;26;10.70;13.54
2003;3;26;47.01;17.46
2003;4;26;107.60;140.00
2003;5;26;95.74;256.00
2003;6;26;55.71;17.83
2003;7;26;45.13;146.17
2003;8;26;47.34;56.00
2003;9;26;66.41;16.00
2003;10;26;114.06;99.00
2003;11;26;139.77;253.00
2003;12;26;92.45;317.96
2004;1;26;83.07;129.87
2004;2;26;31.77;40.17
2004;3;26;29.91;49.79
2004;4;26;117.40;83.21
2004;5;26;144.90;326.21
2004;6;26;67.94;210.79
2004;7;26;32.20;10.00
2004;8;26;16.77;37.00
2004;9;26;78.60;30.00
2004;10;26;126.20;296.00
2004;11;26;205.60;468.00
2004;12;26;131.20;390.42
2005;1;26;121.50;114.58
2005;2;26;123.80;146.00
2005;3;26;55.97;211.50
2005;4;26;53.55;14.50
2005;5;26;133.10;134.00
2005;6;26;88.38;221.00
2005;7;26;46.36;45.00
2005;8;26;31.14;50.00
2005;9;26;31.71;48.00
2005;10;26;125.50;101.00
2005;11;26;191.30;309.00
2005;12;26;124.80;343.00
2006;1;26;75.38;133.00
2006;2;26;33.60;174.00
2006;3;26;79.76;31.00
2006;4;26;119.40;107.00
2006;5;26;141.90;232.25
2006;6;26;47.64;118.75
2006;7;26;38.56;16.00
2006;8;26;32.46;64.00
2006;9;26;46.75;33.00
2006;10;26;105.60;85.54
2006;11;26;104.30;379.42
2006;12;26;72.20;255.04
2007;1;26;36.10;68.00
2007;2;26;25.81;17.00
2007;3;26;34.53;40.00
2007;4;26;85.58;253.04
2007;5;26;46.93;117.37
2007;6;26;30.75;152.71
2007;7;26;33.60;34.88
2007;8;26;62.88;157.00
2007;9;26;60.83;241.96
2007;10;26;131.90;104.37
2007;11;26;99.12;336.04
2007;12;26;53.91;130.63
2008;1;26;34.91;130.00
2008;2;26;23.55;18.00
2008;3;26;18.01;47.00
2008;4;26;37.95;56.12
2008;5;26;85.10;173.88
2008;6;26;45.28;252.00
2008;7;26;54.67;24.00
2008;8;26;86.94;62.00
2008;9;26;97.04;214.50
2008;10;26;162.60;168.00
2008;11;26;176.90;344.67
2008;12;26;145.60;320.04
2009;1;26;63.86;154.29
2009;2;26;77.00;109.42
2009;3;26;126.80;104.58
2009;4;26;104.50;257.25
2009;5;26;94.66;89.46
2009;6;26;54.56;234.29
2009;7;26;45.22;46.12
2009;8;26;45.71;84.88
2009;9;26;29.64;153.00
2009;10;26;36.07;68.00
2009;11;26;100.30;225.00
2009;12;26;16.30;221.00
2010;1;26;13.21;45.00
2010;2;26;11.11;0.00
2010;3;26;17.03;176.00
2010;4;26;67.67;102.00
2010;5;26;83.53;257.00
2010;6;26;90.87;243.00
2010;7;26;105.70;172.00
2010;8;26;89.13;157.00
2010;9;26;215.80;166.04
2010;10;26;190.10;609.75
2010;11;26;309.00;226.92
2010;12;26;328.50;570.04
2011;1;26;103.10;180.25
2011;2;26;38.93;0.00
2011;3;26;47.57;0.00
2011;4;26;431.70;91.00
2011;5;26;228.80;559.00
2011;6;26;166.30;362.00
2011;7;26;68.48;175.00
2011;8;26;67.91;52.62
2011;9;26;74.17;160.79
2011;10;26;107.00;147.21
2011;11;26;190.60;251.38
2011;12;26;295.10;315.08
2012;1;26;72.04;137.92
2012;2;26;30.29;55.00
2012;3;26;41.46;14.00
2012;4;26;193.70;117.00
2012;5;26;83.63;364.00
2012;6;26;30.04;77.00
2012;7;26;43.48;27.00
2012;8;26;76.34;39.00
2012;9;26;35.70;103.00
2012;10;26;169.40;0.00
2012;11;26;90.58;469.00
2012;12;26;50.81;189.00
2013;1;26;22.86;57.00
2013;2;26;32.68;37.54
2013;3;26;27.78;22.46
2013;4;26;51.52;62.00
2013;5;26;90.85;256.00
2013;6;26;22.72;145.00
2013;7;26;51.34;24.42
2013;8;26;59.49;12.58
2013;9;26;34.26;257.12
2013;10;26;38.49;168.29
2013;11;26;131.40;158.29
2013;12;26;71.16;335.29
2014;1;26;16.08;157.00
2014;2;26;11.28;26.00
2014;3;26;31.98;25.00
2014;4;26;37.62;84.00
2014;5;26;50.59;66.12
2014;6;26;14.57;234.88
2014;7;26;8.42;18.00
2014;8;26;3.08;25.00
2014;9;26;20.27;17.00
2014;10;26;50.11;257.00
2014;11;26;98.83;154.17
2014;12;26;26.46;323.83
2015;1;26;6.33;70.00
2015;2;26;17.39;13.00
2015;3;26;23.03;165.79
2015;4;26;31.41;111.21
2015;5;26;7.04;87.00
2015;6;26;9.79;28.00
2015;7;26;49.58;32.00
2015;8;26;6.73;63.00
2015;9;26;3.66;33.00
2015;10;26;7.06;75.79
2015;11;26;38.58;152.17
2015;12;26;13.14;208.04
2016;1;26;3.37;17.00
2016;2;26;3.50;19.00
2016;3;26;3.36;86.17
2016;4;26;34.01;149.67
2016;5;26;36.75;169.83
2016;6;26;11.17;88.46
2016;7;26;7.32;31.88
2016;8;26;2.90;43.00
2016;9;26;7.18;56.00
2016;10;26;30.52;48.00
2016;11;26;146.79;196.25
2016;12;26;60.18;355.37
2017;1;26;0.00;238.38
2017;2;26;0.00;133.00
2017;3;26;0.00;106.00
2017;4;26;0.00;364.00
2017;5;26;0.00;241.00
2017;6;26;0.00;233.00
2017;7;26;0.00;58.00
2017;8;26;0.00;22.00
2017;9;26;0.00;255.00
2017;10;26;0.00;161.50
2017;11;26;0.00;243.46
2017;12;26;0.00;360.67
2018;1;26;32.83;175.00
2018;2;26;16.94;62.04
2018;3;26;35.38;86.33
2018;4;26;135.77;388.47
2018;5;26;135.20;244.54
2018;6;26;58.05;179.58
2018;7;26;32.14;151.71
2018;8;26;18.62;83.29
2018;9;26;21.87;28.00
2018;10;26;985.06;209.33
2018;11;26;296.60;623.67
2018;12;26;49.43;166.00
2019;1;26;23.83;5.00
2019;2;26;10.50;23.00
2019;3;26;13.76;59.71
2019;4;26;110.06;193.79
2019;5;26;54.60;269.50
2019;6;26;70.85;220.62
