year;month;mc;v_flow_mean;v_rainfall_total
2000;1;5;75.02;115.88
2000;2;5;86.09;138.00
2000;3;5;87.28;180.00
2000;4;5;84.74;224.00
2000;5;5;100.80;136.96
2000;6;5;85.10;168.04
2000;7;5;64.47;0.00
2000;8;5;70.50;46.00
2000;9;5;64.80;64.00
2000;10;5;55.89;163.00
2000;11;5;65.93;0.00
2000;12;5;48.50;108.42
2001;1;5;35.08;100.58
2001;2;5;44.03;82.00
2001;3;5;54.79;80.10
2001;4;5;44.05;144.83
2001;5;5;60.39;52.17
2001;6;5;66.49;112.00
2001;7;5;55.04;49.00
2001;8;5;38.94;22.00
2001;9;5;54.15;15.00
2001;10;5;31.31;29.42
2001;11;5;53.06;98.58
2001;12;5;56.32;0.00
2002;1;5;33.31;116.00
2002;2;5;29.50;35.00
2002;3;5;45.51;25.00
2002;4;5;66.51;212.00
2002;5;5;62.37;120.00
2002;6;5;82.60;150.96
2002;7;5;51.36;110.04
2002;8;5;49.25;50.12
2002;9;5;33.55;79.08
2002;10;5;46.24;72.79
2002;11;5;48.55;164.79
2002;12;5;44.19;81.21
2003;1;5;30.94;28.00
2003;2;5;35.18;89.71
2003;3;5;44.43;53.42
2003;4;5;60.84;116.88
2003;5;5;70.20;78.42
2003;6;5;62.30;142.71
2003;7;5;48.97;107.88
2003;8;5;34.84;28.00
2003;9;5;35.54;0.00
2003;10;5;51.64;83.00
2003;11;5;58.83;227.54
2003;12;5;57.92;146.00
2004;1;5;38.74;118.46
2004;2;5;38.21;71.00
2004;3;5;32.83;126.50
2004;4;5;63.43;75.83
2004;5;5;55.82;207.67
2004;6;5;55.40;92.12
2004;7;5;55.34;71.88
2004;8;5;42.24;129.00
2004;9;5;33.93;38.00
2004;10;5;57.05;55.67
2004;11;5;64.99;148.58
2004;12;5;47.02;100.75
2005;1;5;35.80;63.71
2005;2;5;61.01;72.29
2005;3;5;39.42;136.00
2005;4;5;68.58;106.67
2005;5;5;63.55;134.58
2005;6;5;51.70;120.58
2005;7;5;36.59;81.17
2005;8;5;47.00;45.00
2005;9;5;36.72;96.00
2005;10;5;61.62;95.67
2005;11;5;80.77;239.83
2005;12;5;60.22;223.50
2006;1;5;90.43;163.62
2006;2;5;59.28;144.08
2006;3;5;85.11;108.29
2006;4;5;116.40;146.00
2006;5;5;91.74;172.00
2006;6;5;96.55;0.00
2006;7;5;70.63;89.00
2006;8;5;47.80;75.00
2006;9;5;37.30;46.00
2006;10;5;51.72;42.00
2006;11;5;89.92;135.00
2006;12;5;66.11;0.00
2007;1;5;39.16;0.00
2007;2;5;35.66;25.00
2007;3;5;59.83;35.00
2007;4;5;103.80;126.00
2007;5;5;101.80;157.42
2007;6;5;125.20;155.71
2007;7;5;72.91;103.88
2007;8;5;80.55;109.00
2007;9;5;60.32;103.00
2007;10;5;106.80;20.00
2007;11;5;96.06;225.37
2007;12;5;95.64;128.79
2008;1;5;70.83;153.83
