year;month;mc;v_flow_mean;v_rainfall_total
2000;1;2;22.78;232.21
2000;2;2;17.84;255.12
2000;3;2;24.48;266.88
2000;4;2;39.19;288
2000;5;2;46.85;279.17
2000;6;2;40.00;258.04
2000;7;2;20.53;217.87
2000;8;2;11.38;115.92
2000;9;2;14.86;142.92
2000;10;2;20.95;140.46
2000;11;2;29.60;198.04
2000;12;2;15.84;261.58
2001;1;2;12.16;118.54
2001;2;2;9.77;59.29
2001;3;2;22.39;170.17
2001;4;2;22.07;337
2001;5;2;22.21;185.42
2001;6;2;22.41;287.75
2001;7;2;9.19;156.83
2001;8;2;5.71;54
2001;9;2;13.64;18
2001;10;2;13.90;385
2001;11;2;24.05;316
2001;12;2;33.77;472.42
2002;1;2;17.29;261.58
2002;2;2;9.19;106
2002;3;2;14.89;69
2002;4;2;34.87;212.5
2002;5;2;26.73;390.5
2002;6;2;24.37;60
2002;7;2;16.09;107
2002;8;2;11.00;189
2002;9;2;10.04;81.75
2002;10;2;17.36;87.25
2002;11;2;28.17;232.17
2002;12;2;25.02;161.83
2003;1;2;15.54;228
2003;2;2;16.48;52.96
2003;3;2;15.12;293.46
2003;4;2;24.24;132.58
2003;5;2;43.64;193
2003;6;2;41.86;194.33
2003;7;2;18.44;219.92
2003;8;2;11.58;75.54
2003;9;2;10.41;57.21
2003;10;2;24.35;159
2003;11;2;31.86;413
2003;12;2;29.46;255.54
2004;1;2;20.36;78.46
2004;2;2;13.18;175
2004;3;2;10.82;76
2004;4;2;15.08;31.54
2004;5;2;28.31;307.46
2004;6;2;15.54;225
2004;7;2;14.07;111
2004;8;2;9.96;100
2004;9;2;10.40;42
2004;10;2;29.29;102
2004;11;2;51.27;280.21
2004;12;2;29.25;401.79
2005;1;2;15.13;193
2005;2;2;22.81;292
2005;3;2;15.65;197.5
2005;4;2;16.62;272.5
2005;5;2;20.52;95
2005;6;2;16.31;342.29
2005;7;2;12.51;219.71
2005;8;2;9.22;54
2005;9;2;7.17;86
2005;10;2;15.19;97
2005;11;2;37.69;225
2005;12;2;20.16;231
2006;1;2;16.25;256
2006;2;2;20.74;185
2006;3;2;32.32;157.17
2006;4;2;56.98;410.25
2006;5;2;45.54;310.58
2006;6;2;39.25;276
2006;7;2;15.51;256
2006;8;2;8.01;109
2006;9;2;6.54;60.71
2006;10;2;12.66;90.29
2006;11;2;34.11;141
2006;12;2;41.83;329
2007;1;2;26.90;290
