year;month;mc;v_flow_mean;v_rainfall_total
2000;1;4;12.29;304.46
2000;2;4;12.16;278.83
2000;3;4;9.34;221.75
2000;4;4;8.53;171.54
2000;5;4;11.52;201.46
2000;6;4;10.65;263.83
2000;7;4;6.04;249.75
2000;8;4;5.69;124.54
2000;9;4;8.14;94.58
2000;10;4;8.58;374.54
2000;11;4;12.01;229.75
2000;12;4;8.20;402.58
2001;1;4;9.73;144
2001;2;4;9.79;129.17
2001;3;4;14.32;231.83
2001;4;4;10.25;259
2001;5;4;13.07;135.08
2001;6;4;9.99;247.54
2001;7;4;8.22;68.38
2001;8;4;7.23;184
2001;9;4;8.78;0
2001;10;4;11.53;0
2001;11;4;13.51;0
2001;12;4;15.33;246.5
2002;1;4;8.02;240.5
2002;2;4;5.44;106
2002;3;4;7.92;70
2002;4;4;18.22;295
2002;5;4;9.88;396.08
2002;6;4;12.02;182.92
2002;7;4;8.16;85
2002;8;4;6.64;37
2002;9;4;6.99;168.54
2002;10;4;10.26;298.54
2002;11;4;9.86;185
2002;12;4;11.30;276.46
2003;1;4;6.65;206.46
2003;2;4;7.26;60
2003;3;4;9.55;231
2003;4;4;13.29;310
2003;5;4;8.61;370.71
2003;6;4;8.85;250.71
2003;7;4;5.54;177.58
2003;8;4;5.16;139
2003;9;4;5.94;159
2003;10;4;15.60;141.37
2003;11;4;12.57;561.63
2003;12;4;10.47;171
2004;1;4;12.86;148.67
2004;2;4;7.26;139.33
2004;3;4;6.60;135
2004;4;4;8.98;175.42
2004;5;4;10.53;351.58
2004;6;4;7.66;285
2004;7;4;5.83;89
2004;8;4;5.00;0
2004;9;4;6.05;0
2004;10;4;10.43;266
2004;11;4;15.75;219.83
2004;12;4;9.63;441.33
2005;1;4;8.63;300.83
2005;2;4;7.44;228.33
2005;3;4;6.94;147.67
2005;4;4;7.60;118.83
2005;5;4;9.51;275.87
2005;6;4;5.83;319.29
2005;7;4;5.16;274.71
2005;8;4;4.25;113.42
2005;9;4;4.85;170.79
2005;10;4;11.71;288.73
2005;11;4;13.70;540.39
2005;12;4;10.11;354.27
2006;1;4;10.14;179
2006;2;4;7.41;172.42
2006;3;4;10.11;105.28
2006;4;4;11.49;340.3
2006;5;4;10.98;329.25
2006;6;4;10.88;245.76
2006;7;4;8.46;204.99
2006;8;4;4.58;84.53
2006;9;4;4.21;110.07
2006;10;4;8.89;67.19
2006;11;4;11.21;268.85
2006;12;4;11.26;209.98
2007;1;4;7.79;274.8
2007;2;4;5.41;158.19
2007;3;4;6.79;94.1
2007;4;4;9.98;288.25
2007;5;4;15.30;243.56
2007;6;4;11.36;320.87
2007;7;4;9.23;96.61
2007;8;4;9.28;118.62
2007;9;4;8.68;221.57
2007;10;4;20.93;168.17
2007;11;4;16.33;405.69
2007;12;4;20.80;226.86
2008;1;4;13.15;251.41
2008;2;4;15.44;177.28
2008;3;4;14.94;196.32
2008;4;4;13.43;256.87
2008;5;4;20.36;290.12
2008;6;4;13.88;295.2
2008;7;4;11.46;211.12
2008;8;4;12.55;239.94
2008;9;4;11.78;191.13
2008;10;4;12.86;258.79
2008;11;4;26.15;262.98
2008;12;4;16.39;317.41
2009;1;4;13.76;198.83
2009;2;4;12.67;201.27
2009;3;4;12.00;114.54
2009;4;4;13.43;384.67
2009;5;4;13.90;230.1
2009;6;4;11.69;294.5
2009;7;4;7.81;255.96
2009;8;4;7.05;50.75
2009;9;4;6.54;133.58
2009;10;4;8.49;185.52
2009;11;4;15.29;267.1
2009;12;4;10.99;381.51
2010;1;4;7.69;141.98
2010;2;4;8.25;64.6
