year;month;mc;v_flow_mean;v_rainfall_total;
2000;1;32;69.90;303.52;
2000;2;32;44.76;224.77;
2000;3;32;74.80;268.10;
2000;4;32;76.10;139.13;
2000;5;32;73.01;155.22;
2000;6;32;74.41;167.85;
2000;7;32;58.48;86.00;
2000;8;32;45.16;40.90;
2000;9;32;28.85;2.20;
2000;10;32;26.22;68.50;
2000;11;32;36.43;60.14;
2000;12;32;27.36;76.56;
2001;1;32;20.40;82.30;
2001;2;32;26.60;104.90;
2001;3;32;16.40;142.79;
2001;4;32;26.50;62.55;
2001;5;32;31.00;25.86;
2001;6;32;59.20;33.00;
2001;7;32;39.20;21.60;
2001;8;32;22.80;10.90;
2001;9;32;28.50;1.20;
2001;10;32;15.10;54.60;
2001;11;32;21.20;42.90;
2001;12;32;39.80;175.91;
2002;1;32;40.31;160.59;
2002;2;32;23.38;66.00;
2002;3;32;23.22;82.10;
2002;4;32;27.56;98.30;
2002;5;32;35.73;132.98;
2002;6;32;43.62;62.10;
2002;7;32;38.26;94.53;
2002;8;32;52.74;8.25;
2002;9;32;31.81;29.65;
2002;10;32;30.86;64.90;
2002;11;32;41.08;288.72;
2002;12;32;24.68;106.18;
2003;1;32;9.75;86.40;
2003;2;32;23.72;44.45;
2003;3;32;24.51;68.15;
2003;4;32;21.32;125.10;
2003;5;32;32.78;124.00;
2003;6;32;21.70;11.65;
2003;7;32;21.98;35.05;
2003;8;32;16.51;28.60;
2003;9;32;18.95;1.60;
2003;10;32;20.60;70.90;
2003;11;32;29.80;163.34;
2003;12;32;36.54;171.76;
2004;1;32;33.58;143.80;
2004;2;32;13.73;156.40;
2004;3;32;26.71;31.61;
2004;4;32;24.03;76.65;
2004;5;32;20.38;155.74;
2004;6;32;29.45;46.90;
2004;7;32;25.22;13.30;
2004;8;32;21.59;28.10;
2004;9;32;18.98;1.50;
2004;10;32;23.57;48.00;
2004;11;32;30.11;322.00;
2004;12;32;36.31;207.93;
2005;1;32;32.10;128.77;
2005;2;32;40.50;149.40;
2005;3;32;28.00;104.80;
2005;4;32;44.50;129.50;
2005;5;32;37.20;145.70;
2005;6;32;26.20;62.40;
2005;7;32;16.30;33.14;
2005;8;32;19.50;47.56;
2005;9;32;24.10;14.50;
2005;10;32;25.70;41.04;
2005;11;32;56.90;227.16;
2005;12;32;66.90;135.50;
2006;1;32;44.91;231.80;
2006;2;32;40.71;126.50;
2006;3;32;39.73;64.80;
2006;4;32;43.29;176.58;
2006;5;32;46.37;254.22;
2006;6;32;61.85;58.36;
2006;7;32;47.82;121.15;
2006;8;32;48.48;32.59;
2006;9;32;28.03;21.50;
2006;10;32;16.33;0.80;
2006;11;32;49.42;181.96;
2006;12;32;56.33;291.54;
2007;1;32;24.08;205.00;
2007;2;32;23.94;86.90;
2007;3;32;31.98;55.10;
2007;4;32;42.66;173.40;
2007;5;32;24.87;180.10;
2007;6;32;56.36;122.00;
2007;7;32;27.02;32.00;
2007;8;32;31.49;36.90;
2007;9;32;20.80;52.30;
2007;10;32;23.68;5.10;
2007;11;32;44.31;283.36;
2007;12;32;83.06;296.69;
2008;1;32;55.62;224.65;
2008;2;32;47.82;243.50;
2008;3;32;73.29;225.40;
2008;4;32;58.18;256.89;
2008;5;32;64.13;183.72;
2008;6;32;62.23;175.10;
2008;7;32;46.13;66.70;
2008;8;32;12.95;5.20;
2008;9;32;18.83;9.60;
2008;10;32;32.47;33.90;
2008;11;32;53.91;202.57;
2008;12;32;60.97;254.58;
2009;1;32;71.76;217.55;
2009;2;32;51.40;155.30;
2009;3;32;45.67;125.80;
2009;4;32;56.93;194.37;
2009;5;32;37.47;113.63;
2009;6;32;38.53;69.10;
2009;7;32;54.46;23.42;
2009;8;32;40.04;10.98;
2009;9;32;21.16;19.10;
2009;10;32;19.29;22.60;
2009;11;32;19.73;214.89;
2009;12;32;25.14;147.71;
2010;1;32;9.13;117.80;
2010;2;32;18.19;7.20;
2010;3;32;10.71;106.90;
2010;4;32;26.49;24.10;
2010;5;32;43.86;207.60;
2010;6;32;36.05;207.30;
2010;7;32;30.74;43.50;
2010;8;32;13.50;95.90;
2010;9;32;7.48;17.33;
2010;10;32;17.14;50.91;
2010;11;32;83.48;165.26;
2010;12;32;73.87;341.37;
2011;1;32;47.85;141.43;
2011;2;32;55.88;87.80;
2011;3;32;60.46;256.97;
2011;4;32;36.21;214.63;
2011;5;32;31.38;399.98;
2011;6;32;11.91;134.52;
2011;7;32;40.80;65.30;
2011;8;32;58.64;125.95;
2011;9;32;64.41;28.15;
2011;10;32;68.33;41.90;
