year;month;mc;v_flow_mean;v_rainfall_total
2000;1;27;19.10;231.76
2000;2;27;10.98;280.82
2000;3;27;11.91;84.63
2000;4;27;24.78;74.45
2000;5;27;31.54;61.23
2000;6;27;19.75;51.22
2000;7;27;19.48;45.88
2000;8;27;16.09;87.71
2000;9;27;23.67;59.62
2000;10;27;37.57;103.72
2000;11;27;52.10;145.29
2000;12;27;45.45;314.86
2001;1;27;16.78;12.90
2001;2;27;10.66;25.23
2001;3;27;11.52;31.74
2001;4;27;20.99;32.16
2001;5;27;21.73;14.27
2001;6;27;17.32;32.61
2001;7;27;17.21;20.23
2001;8;27;13.62;45.37
2001;9;27;20.81;27.83
2001;10;27;35.18;78.64
2001;11;27;41.88;134.00
2001;12;27;36.04;112.60
2002;1;27;12.76;62.86
2002;2;27;10.10;66.59
2002;3;27;10.58;27.75
2002;4;27;17.65;111.90
2002;5;27;21.37;221.26
2002;6;27;17.50;162.77
2002;7;27;17.39;108.59
2002;8;27;14.79;18.64
2002;9;27;21.59;12.30
2002;10;27;36.71;42.43
2002;11;27;49.24;86.85
2002;12;27;42.54;44.42
2003;1;27;12.67;32.72
2003;2;27;9.06;48.25
2003;3;27;13.96;0.00
2003;4;27;24.89;84.79
2003;5;27;6.90;243.14
2003;6;27;11.93;41.49
2003;7;27;6.96;136.07
2003;8;27;5.32;68.31
2003;9;27;5.32;26.20
2003;10;27;22.43;55.59
2003;11;27;41.83;216.81
2003;12;27;45.42;264.87
2004;1;27;26.71;172.48
2004;2;27;11.79;62.63
2004;3;27;13.53;56.15
2004;4;27;47.36;41.71
2004;5;27;70.45;291.18
2004;6;27;29.48;182.31
2004;7;27;15.73;20.23
2004;8;27;10.99;26.57
2004;9;27;23.06;73.68
2004;10;27;26.45;140.02
2004;11;27;57.13;227.13
2004;12;27;48.04;230.73
2005;1;27;49.12;212.63
2005;2;27;8.47;276.40
2005;3;27;13.01;165.68
2005;4;27;22.82;33.26
2005;5;27;23.65;107.78
2005;6;27;11.78;237.23
2005;7;27;14.54;62.42
2005;8;27;8.61;36.84
2005;9;27;10.94;49.80
2005;10;27;41.17;63.49
2005;11;27;47.41;268.39
2005;12;27;36.68;372.03
2006;1;27;31.53;145.71
2006;2;27;26.45;303.10
2006;3;27;11.78;105.18
2006;4;27;17.83;227.92
2006;5;27;16.97;144.34
2006;6;27;22.86;103.74
2006;7;27;19.56;57.46
2006;8;27;17.92;47.52
2006;9;27;19.36;37.62
2006;10;27;38.82;69.60
2006;11;27;19.51;144.75
2006;12;27;39.94;46.45
2007;1;27;14.93;55.32
2007;2;27;7.69;64.56
2007;3;27;12.31;39.68
2007;4;27;24.03;68.81
2007;5;27;21.11;52.07
2007;6;27;16.34;68.67
2007;7;27;7.38;26.18
2007;8;27;14.87;23.39
2007;9;27;17.35;179.03
2007;10;27;59.47;70.08
2007;11;27;30.63;208.77
2007;12;27;30.22;102.74
2008;1;27;17.30;94.98
2008;2;27;8.80;19.49
2008;3;27;13.11;25.60
2008;4;27;26.31;77.78
2008;5;27;53.92;71.73
2008;6;27;24.55;99.58
2008;7;27;26.52;55.90
2008;8;27;34.48;46.87
2008;9;27;26.94;90.90
2008;10;27;61.02;56.54
2008;11;27;89.73;203.90
2008;12;27;81.76;221.97
2009;1;27;11.33;257.04
2009;2;27;9.58;91.61
2009;3;27;12.40;163.52
2009;4;27;47.48;249.19
2009;5;27;43.63;104.10
2009;6;27;20.36;87.12
2009;7;27;16.69;48.37
2009;8;27;17.89;22.01
2009;9;27;12.96;93.78
2009;10;27;15.97;39.60
2009;11;27;19.26;83.09
2009;12;27;7.21;83.42
2010;1;27;4.93;27.41
2010;2;27;4.29;21.57
2010;3;27;6.82;70.40
2010;4;27;18.56;87.75
2010;5;27;17.06;123.43
2010;6;27;25.86;166.96
2010;7;27;48.45;72.66
2010;8;27;23.74;193.70
2010;9;27;86.26;172.73
2010;10;27;103.10;435.57
2010;11;27;136.20;194.36
2010;12;27;144.10;471.80
2011;1;27;16.64;369.60
2011;2;27;10.31;164.98
2011;3;27;10.87;184.57
2011;4;27;22.70;124.39
2011;5;27;28.16;227.97
2011;6;27;18.46;183.05
2011;7;27;17.91;127.13
2011;8;27;14.35;57.91
2011;9;27;20.56;50.03
2011;10;27;32.54;111.74
2011;11;27;49.35;156.76
2011;12;27;41.04;396.11
2012;1;27;16.81;216.19
2012;2;27;9.75;167.55
2012;3;27;12.88;37.18
2012;4;27;20.46;123.03
2012;5;27;20.47;274.07
2012;6;27;17.26;156.82
2012;7;27;16.53;39.78
2012;8;27;12.62;54.68
2012;9;27;19.33;38.25
2012;10;27;33.27;72.24
2012;11;27;42.69;278.21
2012;12;27;35.75;90.39
2013;1;27;10.03;42.59
2013;2;27;13.81;29.99
2013;3;27;16.47;112.54
2013;4;27;17.83;77.20
2013;5;27;22.35;157.74
2013;6;27;12.68;180.35
2013;7;27;11.08;34.63
2013;8;27;13.97;16.91
2013;9;27;11.61;36.66
2013;10;27;9.42;51.06
2013;11;27;29.98;86.40
2013;12;27;12.83;38.02
2014;1;27;6.64;21.84
2014;2;27;6.51;13.85
2014;3;27;8.26;73.55
2014;4;27;6.44;27.35
2014;5;27;18.69;44.47
2014;6;27;14.23;115.47
2014;7;27;7.79;18.96
2014;8;27;6.34;65.11
2014;9;27;5.71;38.91
2014;10;27;13.90;71.22
2014;11;27;29.77;159.45
2014;12;27;7.19;200.32
2015;1;27;5.88;111.92
2015;2;27;9.78;27.74
2015;3;27;10.40;112.57
2015;4;27;11.77;89.98
2015;5;27;5.25;97.18
2015;6;27;13.36;32.05
2015;7;27;12.16;14.58
2015;8;27;5.89;67.76
2015;9;27;4.01;44.82
2015;10;27;4.18;26.46
2015;11;27;13.98;61.54
2015;12;27;5.40;97.46
2016;1;27;2.89;28.76
2016;2;27;3.61;22.51
2016;3;27;2.92;28.68
2016;4;27;10.60;29.86
2016;5;27;9.68;192.44
2016;6;27;9.39;57.27
2016;7;27;6.55;29.83
2016;8;27;3.68;36.56
2016;9;27;4.75;88.97
2016;10;27;11.40;29.07
2016;11;27;50.52;129.83
2016;12;27;27.22;250.69
2017;1;27;24.21;134.56
2017;2;27;10.78;141.35
2017;3;27;40.03;89.13
2017;4;27;22.40;82.87
2017;5;27;20.55;108.15
2017;6;27;20.00;69.00
2017;7;27;14.28;95.00
2017;8;27;12.96;52.47
2017;9;27;11.39;93.86
2017;10;27;12.16;92.66
2017;11;27;30.25;71.37
2017;12;27;18.46;241.72
2018;1;27;12.51;156.56
2018;2;27;10.83;47.54
2018;3;27;13.60;122.71
2018;4;27;43.99;107.15
2018;5;27;11.70;131.34
2018;6;27;14.28;52.82
2018;7;27;10.80;43.76
2018;8;27;9.24;37.20
2018;9;27;9.36;28.99
2018;10;27;70.76;70.28
2018;11;27;22.93;367.09
2018;12;27;8.52;114.09
2019;1;27;6.44;39.98
2019;2;27;4.52;50.17
2019;3;27;4.94;7.00
2019;4;27;12.01;56.69
2019;5;27;6.88;118.44
2019;6;27;13.49;137.39
2019;7;27;6.76;23.63
2019;8;27;4.61;34.96
2019;9;27;5.08;25.70
2019;10;27;9.50;166.40
2019;11;27;13.63;94.53
2019;12;27;13.30;188.80
